C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\center_2025_08_05_22_16_03_194.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\left_2025_08_05_22_16_03_194.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\right_2025_08_05_22_16_03_194.jpg, 0, 0, 0, 8.106334E-05
C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\center_2025_08_05_22_16_03_301.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\left_2025_08_05_22_16_03_301.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\right_2025_08_05_22_16_03_301.jpg, 0, 0, 0, 8.177457E-05
C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\center_2025_08_05_22_16_03_405.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\left_2025_08_05_22_16_03_405.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\right_2025_08_05_22_16_03_405.jpg, 0, 0, 0, 8.130486E-05
C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\center_2025_08_05_22_16_03_512.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\left_2025_08_05_22_16_03_512.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\right_2025_08_05_22_16_03_512.jpg, 0, 0, 0, 8.155569E-05
C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\center_2025_08_05_22_16_03_623.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\left_2025_08_05_22_16_03_623.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\right_2025_08_05_22_16_03_623.jpg, 0, 0.2360727, 0, 0.1190609
C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\center_2025_08_05_22_16_03_737.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\left_2025_08_05_22_16_03_737.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\right_2025_08_05_22_16_03_737.jpg, 0, 0.5746659, 0, 0.7607857
C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\center_2025_08_05_22_16_03_839.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\left_2025_08_05_22_16_03_839.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\right_2025_08_05_22_16_03_839.jpg, 0, 0.8835993, 0, 1.701239
C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\center_2025_08_05_22_16_03_935.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\left_2025_08_05_22_16_03_935.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\right_2025_08_05_22_16_03_935.jpg, 0, 1, 0, 2.863021
C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\center_2025_08_05_22_16_04_046.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\left_2025_08_05_22_16_04_046.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\right_2025_08_05_22_16_04_046.jpg, 0, 1, 0, 4.03501
C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\center_2025_08_05_22_16_04_161.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\left_2025_08_05_22_16_04_161.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\right_2025_08_05_22_16_04_161.jpg, -0.1303488, 1, 0, 5.425662
C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\center_2025_08_05_22_16_04_278.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\left_2025_08_05_22_16_04_278.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\right_2025_08_05_22_16_04_278.jpg, 0, 1, 0, 6.805385
C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\center_2025_08_05_22_16_04_395.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\left_2025_08_05_22_16_04_395.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\right_2025_08_05_22_16_04_395.jpg, 0, 1, 0, 8.170273
C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\center_2025_08_05_22_16_04_511.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\left_2025_08_05_22_16_04_511.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\right_2025_08_05_22_16_04_511.jpg, 0, 1, 0, 9.519277
C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\center_2025_08_05_22_16_04_615.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\left_2025_08_05_22_16_04_615.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\right_2025_08_05_22_16_04_615.jpg, 0, 1, 0, 10.63133
C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\center_2025_08_05_22_16_04_724.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\left_2025_08_05_22_16_04_724.jpg, C:\Users\potatolord73\Downloads\simulator-windows-64\IMG\right_2025_08_05_22_16_04_724.jpg, -0.1223331, 1, 0, 11.56337
